dateRep,cases,deaths,countriesAndTerritories,continentExp
23/04/2020,84,4,Afghanistan,Asia
22/04/2020,61,1,Afghanistan,Asia
21/04/2020,35,2,Afghanistan,Asia
20/04/2020,88,3,Afghanistan,Asia
19/04/2020,63,0,Afghanistan,Asia
18/04/2020,51,1,Afghanistan,Asia
17/04/2020,10,4,Afghanistan,Asia
16/04/2020,70,2,Afghanistan,Asia
15/04/2020,49,2,Afghanistan,Asia
14/04/2020,58,3,Afghanistan,Asia
13/04/2020,52,0,Afghanistan,Asia
12/04/2020,34,3,Afghanistan,Asia
11/04/2020,37,0,Afghanistan,Asia
10/04/2020,61,1,Afghanistan,Asia
09/04/2020,56,3,Afghanistan,Asia
08/04/2020,30,4,Afghanistan,Asia
07/04/2020,38,0,Afghanistan,Asia
06/04/2020,29,2,Afghanistan,Asia
05/04/2020,35,1,Afghanistan,Asia
04/04/2020,0,0,Afghanistan,Asia
03/04/2020,43,0,Afghanistan,Asia
02/04/2020,26,0,Afghanistan,Asia
01/04/2020,25,0,Afghanistan,Asia
31/03/2020,27,0,Afghanistan,Asia
30/03/2020,8,1,Afghanistan,Asia
29/03/2020,15,1,Afghanistan,Asia
28/03/2020,16,1,Afghanistan,Asia
27/03/2020,0,0,Afghanistan,Asia
26/03/2020,33,0,Afghanistan,Asia
25/03/2020,2,0,Afghanistan,Asia
24/03/2020,6,1,Afghanistan,Asia
23/03/2020,10,0,Afghanistan,Asia
22/03/2020,0,0,Afghanistan,Asia
21/03/2020,2,0,Afghanistan,Asia
20/03/2020,0,0,Afghanistan,Asia
19/03/2020,0,0,Afghanistan,Asia
18/03/2020,1,0,Afghanistan,Asia
17/03/2020,5,0,Afghanistan,Asia
16/03/2020,6,0,Afghanistan,Asia
15/03/2020,3,0,Afghanistan,Asia
11/03/2020,3,0,Afghanistan,Asia
08/03/2020,3,0,Afghanistan,Asia
02/03/2020,0,0,Afghanistan,Asia
01/03/2020,0,0,Afghanistan,Asia
29/02/2020,0,0,Afghanistan,Asia
28/02/2020,0,0,Afghanistan,Asia
27/02/2020,0,0,Afghanistan,Asia
26/02/2020,0,0,Afghanistan,Asia
25/02/2020,1,0,Afghanistan,Asia
24/02/2020,0,0,Afghanistan,Asia
23/02/2020,0,0,Afghanistan,Asia
22/02/2020,0,0,Afghanistan,Asia
21/02/2020,0,0,Afghanistan,Asia
20/02/2020,0,0,Afghanistan,Asia
19/02/2020,0,0,Afghanistan,Asia
18/02/2020,0,0,Afghanistan,Asia
17/02/2020,0,0,Afghanistan,Asia
16/02/2020,0,0,Afghanistan,Asia
15/02/2020,0,0,Afghanistan,Asia
14/02/2020,0,0,Afghanistan,Asia
13/02/2020,0,0,Afghanistan,Asia
12/02/2020,0,0,Afghanistan,Asia
11/02/2020,0,0,Afghanistan,Asia
10/02/2020,0,0,Afghanistan,Asia
09/02/2020,0,0,Afghanistan,Asia
08/02/2020,0,0,Afghanistan,Asia
07/02/2020,0,0,Afghanistan,Asia
06/02/2020,0,0,Afghanistan,Asia
05/02/2020,0,0,Afghanistan,Asia
04/02/2020,0,0,Afghanistan,Asia
03/02/2020,0,0,Afghanistan,Asia
02/02/2020,0,0,Afghanistan,Asia
01/02/2020,0,0,Afghanistan,Asia
31/01/2020,0,0,Afghanistan,Asia
30/01/2020,0,0,Afghanistan,Asia
29/01/2020,0,0,Afghanistan,Asia
28/01/2020,0,0,Afghanistan,Asia
27/01/2020,0,0,Afghanistan,Asia
26/01/2020,0,0,Afghanistan,Asia
25/01/2020,0,0,Afghanistan,Asia
24/01/2020,0,0,Afghanistan,Asia
23/01/2020,0,0,Afghanistan,Asia
22/01/2020,0,0,Afghanistan,Asia
21/01/2020,0,0,Afghanistan,Asia
20/01/2020,0,0,Afghanistan,Asia
19/01/2020,0,0,Afghanistan,Asia
18/01/2020,0,0,Afghanistan,Asia
17/01/2020,0,0,Afghanistan,Asia
16/01/2020,0,0,Afghanistan,Asia
15/01/2020,0,0,Afghanistan,Asia
14/01/2020,0,0,Afghanistan,Asia
13/01/2020,0,0,Afghanistan,Asia
12/01/2020,0,0,Afghanistan,Asia
11/01/2020,0,0,Afghanistan,Asia
10/01/2020,0,0,Afghanistan,Asia
09/01/2020,0,0,Afghanistan,Asia
08/01/2020,0,0,Afghanistan,Asia
07/01/2020,0,0,Afghanistan,Asia
06/01/2020,0,0,Afghanistan,Asia
05/01/2020,0,0,Afghanistan,Asia
04/01/2020,0,0,Afghanistan,Asia
03/01/2020,0,0,Afghanistan,Asia
02/01/2020,0,0,Afghanistan,Asia
01/01/2020,0,0,Afghanistan,Asia
31/12/2019,0,0,Afghanistan,Asia
23/04/2020,25,1,Albania,Europe
22/04/2020,25,0,Albania,Europe
21/04/2020,22,0,Albania,Europe
20/04/2020,14,0,Albania,Europe
19/04/2020,9,0,Albania,Europe
18/04/2020,21,0,Albania,Europe
17/04/2020,24,1,Albania,Europe
16/04/2020,19,1,Albania,Europe
15/04/2020,8,1,Albania,Europe
14/04/2020,21,0,Albania,Europe
13/04/2020,13,0,Albania,Europe
12/04/2020,17,0,Albania,Europe
11/04/2020,7,0,Albania,Europe
10/04/2020,9,1,Albania,Europe
09/04/2020,17,0,Albania,Europe
08/04/2020,6,0,Albania,Europe
07/04/2020,16,1,Albania,Europe
06/04/2020,28,2,Albania,Europe
05/04/2020,29,2,Albania,Europe
04/04/2020,27,1,Albania,Europe
03/04/2020,18,1,Albania,Europe
02/04/2020,16,0,Albania,Europe
01/04/2020,20,3,Albania,Europe
31/03/2020,11,2,Albania,Europe
30/03/2020,15,0,Albania,Europe
29/03/2020,11,1,Albania,Europe
28/03/2020,12,3,Albania,Europe
27/03/2020,28,1,Albania,Europe
26/03/2020,23,0,Albania,Europe
25/03/2020,23,1,Albania,Europe
24/03/2020,11,2,Albania,Europe
23/03/2020,13,0,Albania,Europe
22/03/2020,6,0,Albania,Europe
21/03/2020,0,0,Albania,Europe
20/03/2020,11,0,Albania,Europe
19/03/2020,4,1,Albania,Europe
18/03/2020,4,0,Albania,Europe
17/03/2020,9,0,Albania,Europe
16/03/2020,4,0,Albania,Europe
15/03/2020,5,0,Albania,Europe
14/03/2020,10,0,Albania,Europe
13/03/2020,12,0,Albania,Europe
12/03/2020,1,1,Albania,Europe
11/03/2020,4,0,Albania,Europe
10/03/2020,4,0,Albania,Europe
09/03/2020,2,0,Albania,Europe
23/04/2020,99,10,Algeria,Africa
22/04/2020,93,8,Algeria,Africa
21/04/2020,89,9,Algeria,Africa
20/04/2020,94,8,Algeria,Africa
19/04/2020,117,3,Algeria,Africa
18/04/2020,150,16,Algeria,Africa
17/04/2020,108,12,Algeria,Africa
16/04/2020,90,11,Algeria,Africa
15/04/2020,87,12,Algeria,Africa
14/04/2020,69,20,Algeria,Africa
13/04/2020,89,18,Algeria,Africa
12/04/2020,64,19,Algeria,Africa
11/04/2020,95,21,Algeria,Africa
10/04/2020,94,30,Algeria,Africa
09/04/2020,104,12,Algeria,Africa
08/04/2020,45,20,Algeria,Africa
07/04/2020,103,21,Algeria,Africa
06/04/2020,69,22,Algeria,Africa
05/04/2020,80,25,Algeria,Africa
04/04/2020,185,42,Algeria,Africa
03/04/2020,139,5,Algeria,Africa
02/04/2020,131,14,Algeria,Africa
01/04/2020,132,9,Algeria,Africa
31/03/2020,73,4,Algeria,Africa
30/03/2020,57,2,Algeria,Africa
29/03/2020,45,3,Algeria,Africa
28/03/2020,42,1,Algeria,Africa
27/03/2020,65,4,Algeria,Africa
26/03/2020,38,2,Algeria,Africa
25/03/2020,34,2,Algeria,Africa
24/03/2020,29,0,Algeria,Africa
23/03/2020,62,2,Algeria,Africa
22/03/2020,37,5,Algeria,Africa
21/03/2020,12,3,Algeria,Africa
20/03/2020,18,1,Algeria,Africa
19/03/2020,12,1,Algeria,Africa
18/03/2020,2,1,Algeria,Africa
17/03/2020,10,0,Algeria,Africa
16/03/2020,11,2,Algeria,Africa
15/03/2020,11,0,Algeria,Africa
14/03/2020,1,1,Algeria,Africa
13/03/2020,5,1,Algeria,Africa
12/03/2020,0,0,Algeria,Africa
09/03/2020,3,0,Algeria,Africa
06/03/2020,5,0,Algeria,Africa
05/03/2020,7,0,Algeria,Africa
04/03/2020,2,0,Algeria,Africa
02/03/2020,0,0,Algeria,Africa
01/03/2020,2,0,Algeria,Africa
29/02/2020,0,0,Algeria,Africa
28/02/2020,0,0,Algeria,Africa
27/02/2020,0,0,Algeria,Africa
26/02/2020,1,0,Algeria,Africa
25/02/2020,0,0,Algeria,Africa
24/02/2020,0,0,Algeria,Africa
23/02/2020,0,0,Algeria,Africa
22/02/2020,0,0,Algeria,Africa
21/02/2020,0,0,Algeria,Africa
20/02/2020,0,0,Algeria,Africa
19/02/2020,0,0,Algeria,Africa
18/02/2020,0,0,Algeria,Africa
17/02/2020,0,0,Algeria,Africa
16/02/2020,0,0,Algeria,Africa
